📺央视频道,#genre#
新疆卫视,http://39.134.61.219/PLTV/88888888/224/3221227248/index.m3u8
云南卫视,http://39.134.61.219/PLTV/88888888/224/3221227239/index.m3u8
山西卫视,http://120.48.231.201:58823/hls/39/index.m3u8
陕西卫视,http://39.134.61.219/PLTV/88888888/224/3221227199/index.m3u8
内蒙古卫视,http://222.71.55.147:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙古卫视,http://39.134.61.219/PLTV/88888888/224/3221227191/index.m3u8
宁夏卫视,http://39.134.61.219/PLTV/88888888/224/3221227193/index.m3u8
宁夏卫视,http://101.wifi98.com:9004/rtp/232.0.0.61:1234
甘肃卫视,http://39.134.61.219/PLTV/88888888/224/3221227222/index.m3u8
青海卫视,http://39.134.61.219/PLTV/88888888/224/3221227197/index.m3u8
厦门卫视,http://39.134.61.219/PLTV/88888888/224/3221227246/index.m3u8
三沙卫视,http://39.134.61.219/PLTV/88888888/224/3221227258/index.m3u8
兵团卫视,http://39.134.61.219/PLTV/88888888/224/3221227220/index.m3u8
凤凰卫视,http://120.48.231.201:58823/hls/47/index.m3u8
凤凰资讯,http://120.48.231.201:58823/hls/48/index.m3u8
凤凰电影,http://120.48.231.201:58823/hls/50/index.m3u8
CHC影迷电影,http://39.134.61.219/PLTV/88888888/224/3221227303/index.m3u8
CHC动作电影,http://39.134.61.219/PLTV/88888888/224/3221227298/index.m3u8
CHC家庭影院,http://39.134.61.219/PLTV/88888888/224/3221227296/index.m3u8

📡4K频道,#genre#
CCTV4K,http://39.134.61.219/PLTV/88888888/224/3221227295/index.m3u8
CCTV4K,http://101.wifi98.com:9004/rtp/232.0.0.167:1234
北京卫视4K,http://39.134.61.219/PLTV/88888888/224/3221227299/index.m3u8
北京卫视4K,http://101.wifi98.com:9004/rtp/232.0.0.20:1234
东方卫视4K,http://39.134.61.219/PLTV/88888888/224/3221227274/index.m3u8
东方卫视4K,http://192.168.31.46:8123/PLTV/67ff9c6f7f7046cdd5d32677b3eeb1b7
东方卫视4K,http://101.wifi98.com:9004/rtp/232.0.0.192:1234
湖南卫视4K,http://39.134.61.219/PLTV/88888888/224/3221227245/index.m3u8
湖南卫视4K,http://192.168.31.46:8123/PLTV/4619841787acc9819cd166d32bbda8de
湖南卫视4K,http://101.wifi98.com:9004/rtp/232.0.0.216:1234
四川卫视4K,http://39.134.61.219/PLTV/88888888/224/3221227243/index.m3u8
四川卫视4K,http://192.168.31.46:8123/PLTV/3ffa81c994eb3330fde7f9f177c0386a
四川卫视4K,http://101.wifi98.com:9004/rtp/232.0.0.195:1234
浙江卫视4K,http://39.134.61.219/PLTV/88888888/224/3221227247/index.m3u8
浙江卫视4K,http://192.168.31.46:8123/PLTV/cf670b212ec58b8f10016792e0d9fee0
浙江卫视4K,http://101.wifi98.com:9004/rtp/232.0.0.193:1234
江苏卫视4K,http://39.134.61.219/PLTV/88888888/224/3221227270/index.m3u8
江苏卫视4K,http://192.168.31.46:8123/PLTV/6e45417dd5c3eb48246e40d1027432ad
江苏卫视4K,http://101.wifi98.com:9004/rtp/232.0.0.191:1234
山东卫视4K,http://39.134.61.219/PLTV/88888888/224/3221227249/index.m3u8
山东卫视4K,http://192.168.31.46:8123/PLTV/1e3d93b94d53f35a12b66a44d4f0bd29
广东卫视4K,http://39.134.61.219/PLTV/88888888/224/3221227291/index.m3u8
广东卫视4K,http://101.wifi98.com:9004/rtp/232.0.0.23:1234
深圳卫视4K,http://39.134.61.219/PLTV/88888888/224/3221227318/index.m3u8
深圳卫视4K,http://101.wifi98.com:9004/rtp/232.0.0.44:1234
咪视界4K,http://39.134.61.219/PLTV/88888888/224/3221227045/index.m3u8
至臻视界4K,http://39.134.61.219/PLTV/88888888/224/3221227045/index.m3u8

📡北京频道,#genre#
BRTV新闻,http://120.48.231.201:58823/hls/23/index.m3u8
BRTV生活,http://120.48.231.201:58823/hls/21/index.m3u8
BRTV体育休闲,http://120.48.231.201:58823/hls/22/index.m3u8
BRTV影视,http://120.48.231.201:58823/hls/19/index.m3u8
BRTV文艺,http://120.48.231.201:58823/hls/17/index.m3u8
BRTV财经,http://120.48.231.201:58823/hls/20/index.m3u8
BRTV纪实科教,http://39.134.61.219/PLTV/88888888/224/3221227284/index.m3u8
BRTVKAKU少儿,http://120.48.231.201:58823/hls/24/index.m3u8

📡辽宁频道,#genre#
辽宁都市,http://39.134.61.219/PLTV/88888888/224/3221227265/index.m3u8
辽宁北方,http://39.134.61.219/PLTV/88888888/224/3221227276/index.m3u8
辽宁公共,http://39.134.61.219/PLTV/88888888/224/3221227288/index.m3u8
辽宁经济,http://39.134.61.219/PLTV/88888888/224/3221227313/index.m3u8
辽宁生活,http://39.134.61.219/PLTV/88888888/224/3221227257/index.m3u8
辽宁影视剧,http://39.134.61.219/PLTV/88888888/224/3221227342/index.m3u8
辽宁体育休闲,http://39.134.61.219/PLTV/88888888/224/3221227330/index.m3u8
辽宁移动电视,http://39.134.61.219/PLTV/88888888/224/3221227255/index.m3u8
辽宁宜家购物,http://39.134.61.219/PLTV/88888888/224/3221227278/index.m3u8
沈阳新闻,http://39.134.61.219/PLTV/88888888/224/3221227273/index.m3u8
